vocab.size = 25911
batch_acm 8199, loss 3.114, acc 0.388, nll 3.114, ppl 12.111, x_acm 327673, lr 0.000296, time 77
batch_acm 8299, loss 3.128, acc 0.388, nll 3.128, ppl 12.086, x_acm 331673, lr 0.000299, time 111
batch_acm 8399, loss 3.072, acc 0.395, nll 3.072, ppl 11.566, x_acm 335670, lr 0.000303, time 1
batch_acm 8499, loss 3.237, acc 0.374, nll 3.237, ppl 12.657, x_acm 339670, lr 0.000307, time 35
batch_acm 8599, loss 3.232, acc 0.374, nll 3.232, ppl 12.618, x_acm 343670, lr 0.000310, time 69
batch_acm 8699, loss 3.201, acc 0.380, nll 3.201, ppl 12.173, x_acm 347670, lr 0.000314, time 104
batch_acm 8799, loss 3.188, acc 0.381, nll 3.188, ppl 12.117, x_acm 351670, lr 0.000318, time 138
batch_acm 8899, loss 3.118, acc 0.382, nll 3.116, ppl 11.677, x_acm 355635, lr 0.000321, time 29
batch_acm 8999, loss 3.073, acc 0.390, nll 3.073, ppl 11.351, x_acm 359635, lr 0.000325, time 63
batch_acm 9099, loss 3.052, acc 0.394, nll 3.052, ppl 11.177, x_acm 363635, lr 0.000328, time 98
batch_acm 9199, loss 3.031, acc 0.395, nll 3.031, ppl 11.015, x_acm 367635, lr 0.000332, time 132
batch_acm 9299, loss 3.025, acc 0.398, nll 3.026, ppl 11.064, x_acm 371614, lr 0.000336, time 22
batch_acm 9399, loss 3.052, acc 0.397, nll 3.052, ppl 11.269, x_acm 375614, lr 0.000339, time 56
batch_acm 9499, loss 3.004, acc 0.404, nll 3.004, ppl 11.032, x_acm 379614, lr 0.000343, time 91
batch_acm 9599, loss 2.999, acc 0.404, nll 2.999, ppl 10.944, x_acm 383614, lr 0.000346, time 125
batch_acm 9699, loss 3.043, acc 0.398, nll 3.041, ppl 11.197, x_acm 387582, lr 0.000350, time 15
batch_acm 9799, loss 3.045, acc 0.395, nll 3.045, ppl 11.186, x_acm 391582, lr 0.000354, time 49
batch_acm 9899, loss 3.044, acc 0.396, nll 3.044, ppl 11.127, x_acm 395582, lr 0.000357, time 84
batch_acm 9999, loss 3.036, acc 0.398, nll 3.036, ppl 11.200, x_acm 399582, lr 0.000361, time 118
validating: label epoch-0-acm-9999, batch_acm 9999, acc 0.384342, nll 3.258115, ppl 11.552014
batch_acm 10099, loss 3.043, acc 0.395, nll 3.056, ppl 11.100, x_acm 403543, lr 0.000359, time 8
batch_acm 10199, loss 3.099, acc 0.392, nll 3.099, ppl 11.729, x_acm 407543, lr 0.000357, time 43
batch_acm 10299, loss 3.054, acc 0.398, nll 3.054, ppl 11.251, x_acm 411543, lr 0.000356, time 77
batch_acm 10399, loss 3.066, acc 0.398, nll 3.066, ppl 11.230, x_acm 415543, lr 0.000354, time 111
batch_acm 10499, loss 2.995, acc 0.406, nll 2.987, ppl 10.671, x_acm 419506, lr 0.000352, time 1
batch_acm 10599, loss 2.964, acc 0.403, nll 2.964, ppl 10.617, x_acm 423506, lr 0.000350, time 35
batch_acm 10699, loss 2.936, acc 0.409, nll 2.936, ppl 10.462, x_acm 427506, lr 0.000349, time 69
batch_acm 10799, loss 2.929, acc 0.410, nll 2.929, ppl 10.587, x_acm 431506, lr 0.000347, time 104
batch_acm 10899, loss 2.944, acc 0.409, nll 2.944, ppl 10.501, x_acm 435506, lr 0.000346, time 138
batch_acm 10999, loss 3.024, acc 0.401, nll 3.026, ppl 10.917, x_acm 439479, lr 0.000344, time 29
batch_acm 11099, loss 3.057, acc 0.400, nll 3.057, ppl 11.028, x_acm 443479, lr 0.000343, time 63
batch_acm 11199, loss 3.032, acc 0.404, nll 3.032, ppl 10.864, x_acm 447479, lr 0.000341, time 98
