vocab.size = 25911
batch_acm 9599, loss 3.150, acc 0.370, nll 3.150, ppl 12.707, x_acm 191878, lr 0.000346
batch_acm 9699, loss 3.111, acc 0.376, nll 3.111, ppl 12.698, x_acm 193878, lr 0.000350
batch_acm 9799, loss 3.059, acc 0.385, nll 3.059, ppl 12.210, x_acm 195878, lr 0.000354
batch_acm 9899, loss 3.079, acc 0.385, nll 3.079, ppl 12.473, x_acm 197878, lr 0.000357
batch_acm 9999, loss 3.076, acc 0.381, nll 3.076, ppl 12.181, x_acm 199878, lr 0.000361
validating: label epoch-0-acm-9999, batch_acm 9999, acc 0.334886, nll 3.560700, ppl 14.469654
batch_acm 10099, loss 3.118, acc 0.377, nll 3.118, ppl 12.801, x_acm 201876, lr 0.000359
batch_acm 10199, loss 3.344, acc 0.354, nll 3.344, ppl 14.128, x_acm 203876, lr 0.000357
batch_acm 10299, loss 3.275, acc 0.363, nll 3.275, ppl 13.530, x_acm 205876, lr 0.000356
batch_acm 10399, loss 3.269, acc 0.365, nll 3.269, ppl 13.355, x_acm 207876, lr 0.000354
batch_acm 10499, loss 3.271, acc 0.364, nll 3.271, ppl 13.184, x_acm 209876, lr 0.000352
batch_acm 10599, loss 3.257, acc 0.366, nll 3.257, ppl 13.249, x_acm 211876, lr 0.000350
batch_acm 10699, loss 3.231, acc 0.369, nll 3.231, ppl 12.918, x_acm 213876, lr 0.000349
batch_acm 10799, loss 3.222, acc 0.370, nll 3.222, ppl 13.018, x_acm 215876, lr 0.000347
batch_acm 10899, loss 3.244, acc 0.371, nll 3.244, ppl 13.128, x_acm 217876, lr 0.000346
batch_acm 10999, loss 3.370, acc 0.353, nll 3.370, ppl 14.277, x_acm 219874, lr 0.000344
batch_acm 11099, loss 3.402, acc 0.350, nll 3.402, ppl 14.170, x_acm 221874, lr 0.000343
batch_acm 11199, loss 3.350, acc 0.356, nll 3.350, ppl 13.885, x_acm 223874, lr 0.000341
batch_acm 11299, loss 3.284, acc 0.362, nll 3.284, ppl 13.283, x_acm 225874, lr 0.000339
batch_acm 11399, loss 3.299, acc 0.360, nll 3.299, ppl 13.219, x_acm 227874, lr 0.000338
batch_acm 11499, loss 3.324, acc 0.358, nll 3.324, ppl 13.474, x_acm 229874, lr 0.000337
batch_acm 11599, loss 3.271, acc 0.366, nll 3.271, ppl 13.075, x_acm 231874, lr 0.000335
batch_acm 11699, loss 3.270, acc 0.366, nll 3.270, ppl 13.142, x_acm 233874, lr 0.000334
batch_acm 11799, loss 3.233, acc 0.370, nll 3.232, ppl 12.919, x_acm 235869, lr 0.000332
batch_acm 11899, loss 3.250, acc 0.368, nll 3.250, ppl 15.588, x_acm 237869, lr 0.000331
batch_acm 11999, loss 3.154, acc 0.378, nll 3.154, ppl 12.061, x_acm 239869, lr 0.000329
batch_acm 12099, loss 3.237, acc 0.372, nll 3.237, ppl 12.691, x_acm 241869, lr 0.000328
batch_acm 12199, loss 3.191, acc 0.377, nll 3.191, ppl 12.552, x_acm 243869, lr 0.000327
batch_acm 12299, loss 3.161, acc 0.382, nll 3.161, ppl 12.267, x_acm 245869, lr 0.000325
batch_acm 12399, loss 3.223, acc 0.377, nll 3.223, ppl 12.531, x_acm 247869, lr 0.000324
batch_acm 12499, loss 3.124, acc 0.386, nll 3.124, ppl 11.804, x_acm 249869, lr 0.000323
batch_acm 12599, loss 3.174, acc 0.380, nll 3.174, ppl 12.111, x_acm 251869, lr 0.000321
batch_acm 12699, loss 3.003, acc 0.395, nll 3.003, ppl 11.301, x_acm 253869, lr 0.000320
batch_acm 12799, loss 3.000, acc 0.398, nll 3.000, ppl 11.383, x_acm 255869, lr 0.000319
batch_acm 12899, loss 2.966, acc 0.402, nll 2.966, ppl 11.082, x_acm 257869, lr 0.000318
batch_acm 12999, loss 2.979, acc 0.400, nll 2.979, ppl 11.119, x_acm 259869, lr 0.000316
batch_acm 13099, loss 2.955, acc 0.404, nll 2.955, ppl 10.794, x_acm 261869, lr 0.000315
batch_acm 13199, loss 2.968, acc 0.403, nll 2.968, ppl 11.847, x_acm 263869, lr 0.000314
batch_acm 13299, loss 2.899, acc 0.413, nll 2.899, ppl 10.604, x_acm 265869, lr 0.000313
batch_acm 13399, loss 2.912, acc 0.411, nll 2.912, ppl 10.531, x_acm 267869, lr 0.000312
batch_acm 13499, loss 3.087, acc 0.389, nll 3.088, ppl 11.825, x_acm 269862, lr 0.000311
batch_acm 13599, loss 3.082, acc 0.388, nll 3.082, ppl 11.487, x_acm 271862, lr 0.000309
batch_acm 13699, loss 3.100, acc 0.388, nll 3.100, ppl 11.730, x_acm 273862, lr 0.000308
